,Oximetria,Hora,Data
0,49,00:01:00,16-06-22
1,69,00:02:00,16-06-22
2,69,00:03:00,16-06-22
3,89,00:04:00,16-06-22
4,51,00:05:00,16-06-22
5,85,00:06:00,16-06-22
6,65,00:07:00,16-06-22
7,86,00:08:00,16-06-22
8,62,00:09:00,16-06-22
9,67,00:10:00,16-06-22
10,72,00:11:00,16-06-22
11,91,00:12:00,16-06-22
12,47,00:13:00,16-06-22
13,74,00:14:00,16-06-22
14,47,00:15:00,16-06-22
15,45,00:16:00,16-06-22
16,87,00:17:00,16-06-22
17,69,00:18:00,16-06-22
18,56,00:19:00,16-06-22
19,43,00:20:00,16-06-22
20,82,00:21:00,16-06-22
21,81,00:22:00,16-06-22
22,53,00:23:00,16-06-22
23,61,00:24:00,16-06-22
24,54,00:25:00,16-06-22
25,59,00:26:00,16-06-22
26,93,00:27:00,16-06-22
27,89,00:28:00,16-06-22
28,53,00:29:00,16-06-22
29,51,00:30:00,16-06-22
30,49,00:31:00,16-06-22
31,52,00:32:00,16-06-22
32,97,00:33:00,16-06-22
33,62,00:34:00,16-06-22
34,63,00:35:00,16-06-22
35,80,00:36:00,16-06-22
36,66,00:37:00,16-06-22
37,93,00:38:00,16-06-22
38,53,00:39:00,16-06-22
39,65,00:40:00,16-06-22
40,69,00:41:00,16-06-22
41,75,00:42:00,16-06-22
42,57,00:43:00,16-06-22
43,97,00:44:00,16-06-22
44,90,00:45:00,16-06-22
45,92,00:46:00,16-06-22
46,64,00:47:00,16-06-22
47,50,00:48:00,16-06-22
48,94,00:49:00,16-06-22
49,81,00:50:00,16-06-22
50,80,00:51:00,16-06-22
51,47,00:52:00,16-06-22
52,51,00:53:00,16-06-22
53,40,00:54:00,16-06-22
54,78,00:55:00,16-06-22
55,65,00:56:00,16-06-22
56,49,00:57:00,16-06-22
57,89,00:58:00,16-06-22
58,94,00:59:00,16-06-22
59,76,01:00:00,16-06-22
60,50,01:01:00,16-06-22
61,52,01:02:00,16-06-22
62,50,01:03:00,16-06-22
63,93,01:04:00,16-06-22
64,41,01:05:00,16-06-22
65,98,01:06:00,16-06-22
66,82,01:07:00,16-06-22
67,55,01:08:00,16-06-22
68,68,01:09:00,16-06-22
69,91,01:10:00,16-06-22
70,80,01:11:00,16-06-22
71,97,01:12:00,16-06-22
72,64,01:13:00,16-06-22
73,48,01:14:00,16-06-22
74,79,01:15:00,16-06-22
75,75,01:16:00,16-06-22
76,88,01:17:00,16-06-22
77,43,01:18:00,16-06-22
78,78,01:19:00,16-06-22
79,55,01:20:00,16-06-22
80,85,01:21:00,16-06-22
81,79,01:22:00,16-06-22
82,89,01:23:00,16-06-22
83,72,01:24:00,16-06-22
84,85,01:25:00,16-06-22
85,58,01:26:00,16-06-22
86,84,01:27:00,16-06-22
87,77,01:28:00,16-06-22
88,61,01:29:00,16-06-22
89,73,01:30:00,16-06-22
90,83,01:31:00,16-06-22
91,61,01:32:00,16-06-22
92,74,01:33:00,16-06-22
93,94,01:34:00,16-06-22
94,63,01:35:00,16-06-22
95,70,01:36:00,16-06-22
96,65,01:37:00,16-06-22
97,88,01:38:00,16-06-22
98,43,01:39:00,16-06-22
99,92,01:40:00,16-06-22
100,46,01:41:00,16-06-22
101,96,01:42:00,16-06-22
102,59,01:43:00,16-06-22
103,81,01:44:00,16-06-22
104,67,01:45:00,16-06-22
105,56,01:46:00,16-06-22
106,55,01:47:00,16-06-22
107,94,01:48:00,16-06-22
108,92,01:49:00,16-06-22
109,98,01:50:00,16-06-22
110,85,01:51:00,16-06-22
111,85,01:52:00,16-06-22
112,67,01:53:00,16-06-22
113,89,01:54:00,16-06-22
114,96,01:55:00,16-06-22
115,72,01:56:00,16-06-22
116,91,01:57:00,16-06-22
117,71,01:58:00,16-06-22
118,97,01:59:00,16-06-22
119,77,02:00:00,16-06-22
120,56,02:01:00,16-06-22
121,49,02:02:00,16-06-22
122,43,02:03:00,16-06-22
123,83,02:04:00,16-06-22
124,77,02:05:00,16-06-22
125,95,02:06:00,16-06-22
126,60,02:07:00,16-06-22
127,50,02:08:00,16-06-22
128,43,02:09:00,16-06-22
129,88,02:10:00,16-06-22
130,57,02:11:00,16-06-22
131,85,02:12:00,16-06-22
132,84,02:13:00,16-06-22
133,47,02:14:00,16-06-22
134,85,02:15:00,16-06-22
135,43,02:16:00,16-06-22
136,90,02:17:00,16-06-22
137,78,02:18:00,16-06-22
138,96,02:19:00,16-06-22
139,54,02:20:00,16-06-22
140,96,02:21:00,16-06-22
141,59,02:22:00,16-06-22
142,73,02:23:00,16-06-22
143,79,02:24:00,16-06-22
144,53,02:25:00,16-06-22
145,81,02:26:00,16-06-22
146,91,02:27:00,16-06-22
147,87,02:28:00,16-06-22
148,86,02:29:00,16-06-22
149,76,02:30:00,16-06-22
150,62,02:31:00,16-06-22
151,61,02:32:00,16-06-22
152,69,02:33:00,16-06-22
153,40,02:34:00,16-06-22
154,84,02:35:00,16-06-22
155,47,02:36:00,16-06-22
156,70,02:37:00,16-06-22
157,52,02:38:00,16-06-22
158,92,02:39:00,16-06-22
159,73,02:40:00,16-06-22
160,47,02:41:00,16-06-22
161,86,02:42:00,16-06-22
162,78,02:43:00,16-06-22
163,53,02:44:00,16-06-22
164,42,02:45:00,16-06-22
165,64,02:46:00,16-06-22
166,86,02:47:00,16-06-22
167,46,02:48:00,16-06-22
168,65,02:49:00,16-06-22
169,83,02:50:00,16-06-22
170,85,02:51:00,16-06-22
171,49,02:52:00,16-06-22
172,79,02:53:00,16-06-22
173,82,02:54:00,16-06-22
174,81,02:55:00,16-06-22
175,70,02:56:00,16-06-22
176,74,02:57:00,16-06-22
177,42,02:58:00,16-06-22
178,84,02:59:00,16-06-22
179,68,03:00:00,16-06-22
180,50,03:01:00,16-06-22
181,43,03:02:00,16-06-22
182,91,03:03:00,16-06-22
183,70,03:04:00,16-06-22
184,95,03:05:00,16-06-22
185,88,03:06:00,16-06-22
186,43,03:07:00,16-06-22
187,52,03:08:00,16-06-22
188,55,03:09:00,16-06-22
189,50,03:10:00,16-06-22
190,46,03:11:00,16-06-22
191,42,03:12:00,16-06-22
192,48,03:13:00,16-06-22
193,53,03:14:00,16-06-22
194,81,03:15:00,16-06-22
195,45,03:16:00,16-06-22
196,47,03:17:00,16-06-22
197,56,03:18:00,16-06-22
198,44,03:19:00,16-06-22
199,84,03:20:00,16-06-22
200,86,03:21:00,16-06-22
201,65,03:22:00,16-06-22
202,42,03:23:00,16-06-22
203,74,03:24:00,16-06-22
204,67,03:25:00,16-06-22
205,70,03:26:00,16-06-22
206,68,03:27:00,16-06-22
207,61,03:28:00,16-06-22
208,84,03:29:00,16-06-22
209,69,03:30:00,16-06-22
210,73,03:31:00,16-06-22
211,52,03:32:00,16-06-22
212,78,03:33:00,16-06-22
213,77,03:34:00,16-06-22
214,94,03:35:00,16-06-22
215,56,03:36:00,16-06-22
216,66,03:37:00,16-06-22
217,49,03:38:00,16-06-22
218,92,03:39:00,16-06-22
219,53,03:40:00,16-06-22
220,93,03:41:00,16-06-22
221,66,03:42:00,16-06-22
222,44,03:43:00,16-06-22
223,78,03:44:00,16-06-22
224,57,03:45:00,16-06-22
225,65,03:46:00,16-06-22
226,94,03:47:00,16-06-22
227,56,03:48:00,16-06-22
228,93,03:49:00,16-06-22
229,85,03:50:00,16-06-22
230,46,03:51:00,16-06-22
231,52,03:52:00,16-06-22
232,54,03:53:00,16-06-22
233,43,03:54:00,16-06-22
234,64,03:55:00,16-06-22
235,57,03:56:00,16-06-22
236,40,03:57:00,16-06-22
237,57,03:58:00,16-06-22
238,90,03:59:00,16-06-22
239,59,04:00:00,16-06-22
240,42,04:01:00,16-06-22
241,41,04:02:00,16-06-22
242,92,04:03:00,16-06-22
243,75,04:04:00,16-06-22
244,58,04:05:00,16-06-22
245,54,04:06:00,16-06-22
246,65,04:07:00,16-06-22
247,40,04:08:00,16-06-22
248,81,04:09:00,16-06-22
249,45,04:10:00,16-06-22
250,54,04:11:00,16-06-22
251,59,04:12:00,16-06-22
252,81,04:13:00,16-06-22
253,81,04:14:00,16-06-22
254,86,04:15:00,16-06-22
255,80,04:16:00,16-06-22
256,41,04:17:00,16-06-22
257,94,04:18:00,16-06-22
258,45,04:19:00,16-06-22
259,92,04:20:00,16-06-22
260,77,04:21:00,16-06-22
261,62,04:22:00,16-06-22
262,60,04:23:00,16-06-22
263,83,04:24:00,16-06-22
264,97,04:25:00,16-06-22
265,68,04:26:00,16-06-22
266,42,04:27:00,16-06-22
267,86,04:28:00,16-06-22
268,89,04:29:00,16-06-22
269,51,04:30:00,16-06-22
270,97,04:31:00,16-06-22
271,45,04:32:00,16-06-22
272,41,04:33:00,16-06-22
273,84,04:34:00,16-06-22
274,79,04:35:00,16-06-22
275,94,04:36:00,16-06-22
276,62,04:37:00,16-06-22
277,94,04:38:00,16-06-22
278,91,04:39:00,16-06-22
279,75,04:40:00,16-06-22
280,49,04:41:00,16-06-22
281,50,04:42:00,16-06-22
282,97,04:43:00,16-06-22
283,84,04:44:00,16-06-22
284,40,04:45:00,16-06-22
285,83,04:46:00,16-06-22
286,87,04:47:00,16-06-22
287,40,04:48:00,16-06-22
288,85,04:49:00,16-06-22
289,60,04:50:00,16-06-22
290,72,04:51:00,16-06-22
291,65,04:52:00,16-06-22
292,51,04:53:00,16-06-22
293,64,04:54:00,16-06-22
294,64,04:55:00,16-06-22
295,86,04:56:00,16-06-22
296,68,04:57:00,16-06-22
297,52,04:58:00,16-06-22
298,53,04:59:00,16-06-22
299,98,05:00:00,16-06-22
300,50,05:01:00,16-06-22
301,78,05:02:00,16-06-22
302,93,05:03:00,16-06-22
303,76,05:04:00,16-06-22
304,75,05:05:00,16-06-22
305,57,05:06:00,16-06-22
306,44,05:07:00,16-06-22
307,80,05:08:00,16-06-22
308,69,05:09:00,16-06-22
309,80,05:10:00,16-06-22
310,87,05:11:00,16-06-22
311,48,05:12:00,16-06-22
312,67,05:13:00,16-06-22
313,77,05:14:00,16-06-22
314,94,05:15:00,16-06-22
315,77,05:16:00,16-06-22
316,72,05:17:00,16-06-22
317,47,05:18:00,16-06-22
318,81,05:19:00,16-06-22
319,59,05:20:00,16-06-22
320,48,05:21:00,16-06-22
321,95,05:22:00,16-06-22
322,47,05:23:00,16-06-22
323,77,05:24:00,16-06-22
324,79,05:25:00,16-06-22
325,54,05:26:00,16-06-22
326,43,05:27:00,16-06-22
327,65,05:28:00,16-06-22
328,91,05:29:00,16-06-22
329,69,05:30:00,16-06-22
330,67,05:31:00,16-06-22
331,85,05:32:00,16-06-22
332,62,05:33:00,16-06-22
333,95,05:34:00,16-06-22
334,45,05:35:00,16-06-22
335,44,05:36:00,16-06-22
336,42,05:37:00,16-06-22
337,98,05:38:00,16-06-22
338,68,05:39:00,16-06-22
339,66,05:40:00,16-06-22
340,41,05:41:00,16-06-22
341,76,05:42:00,16-06-22
342,49,05:43:00,16-06-22
343,70,05:44:00,16-06-22
344,46,05:45:00,16-06-22
345,84,05:46:00,16-06-22
346,45,05:47:00,16-06-22
347,58,05:48:00,16-06-22
348,80,05:49:00,16-06-22
349,83,05:50:00,16-06-22
350,46,05:51:00,16-06-22
351,75,05:52:00,16-06-22
352,76,05:53:00,16-06-22
353,93,05:54:00,16-06-22
354,49,05:55:00,16-06-22
355,48,05:56:00,16-06-22
356,88,05:57:00,16-06-22
357,75,05:58:00,16-06-22
358,77,05:59:00,16-06-22
359,49,06:00:00,16-06-22
360,50,06:01:00,16-06-22
361,62,06:02:00,16-06-22
362,87,06:03:00,16-06-22
363,76,06:04:00,16-06-22
364,64,06:05:00,16-06-22
365,85,06:06:00,16-06-22
366,96,06:07:00,16-06-22
367,86,06:08:00,16-06-22
368,46,06:09:00,16-06-22
369,81,06:10:00,16-06-22
370,93,06:11:00,16-06-22
371,71,06:12:00,16-06-22
372,93,06:13:00,16-06-22
373,60,06:14:00,16-06-22
374,47,06:15:00,16-06-22
375,83,06:16:00,16-06-22
376,98,06:17:00,16-06-22
377,96,06:18:00,16-06-22
378,90,06:19:00,16-06-22
379,70,06:20:00,16-06-22
380,98,06:21:00,16-06-22
381,93,06:22:00,16-06-22
382,58,06:23:00,16-06-22
383,54,06:24:00,16-06-22
384,87,06:25:00,16-06-22
385,89,06:26:00,16-06-22
386,89,06:27:00,16-06-22
387,62,06:28:00,16-06-22
388,54,06:29:00,16-06-22
389,42,06:30:00,16-06-22
390,98,06:31:00,16-06-22
391,40,06:32:00,16-06-22
392,54,06:33:00,16-06-22
393,72,06:34:00,16-06-22
394,47,06:35:00,16-06-22
395,75,06:36:00,16-06-22
396,45,06:37:00,16-06-22
397,48,06:38:00,16-06-22
398,70,06:39:00,16-06-22
399,80,06:40:00,16-06-22
400,96,06:41:00,16-06-22
401,43,06:42:00,16-06-22
402,87,06:43:00,16-06-22
403,70,06:44:00,16-06-22
404,62,06:45:00,16-06-22
405,72,06:46:00,16-06-22
406,70,06:47:00,16-06-22
407,53,06:48:00,16-06-22
408,71,06:49:00,16-06-22
409,43,06:50:00,16-06-22
410,97,06:51:00,16-06-22
411,82,06:52:00,16-06-22
412,94,06:53:00,16-06-22
413,72,06:54:00,16-06-22
414,77,06:55:00,16-06-22
415,56,06:56:00,16-06-22
416,41,06:57:00,16-06-22
417,78,06:58:00,16-06-22
418,73,06:59:00,16-06-22
419,73,07:00:00,16-06-22
420,92,07:01:00,16-06-22
421,89,07:02:00,16-06-22
422,46,07:03:00,16-06-22
